age,is_premium_user,total_visits,avg_session_time,pages_per_session,total_spent,avg_order_value,discount_used,support_tickets,refund_requested,delivery_delay_days,satisfaction_score,nps_score,marketing_spend_per_user,last_3_month_purchase_freq,spend_per_visit,total_time_spent,gender_Female,gender_Male,city_Berlin,city_Delhi,city_Dhaka,city_Hamburg,city_London,city_Mumbai,city_New York,device_type_Desktop,device_type_Mobile,device_type_Tablet,subscription_type_Annual,subscription_type_Monthly,churn_probability,segment,high_risk,segment_label
52.0,1,7,13.9037447368063,5.41516421012665,559.524958294943,65.2467036526621,0,0,0,3,3.0,10,27.56,14,79.93212548040249,97.32621315764409,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0.011235721,2,0,Low Risk
35.0,0,19,5.11252823485629,5.35244119034683,356.491344361111,48.4738866423907,1,5,0,3,3.0,7,15.15,11,18.762701347284715,97.13803646226951,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0.5783476,3,1,High Risk
27.0,1,18,9.74274942528181,3.5947188378537,689.332195709597,77.8153710701351,0,1,0,2,5.0,6,13.51,9,38.29623096740922,175.36948965507258,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0.026374223,0,0,Critical Risk
36.0,1,16,9.64265417114045,2.94953069632458,445.429636084867,71.7121915507461,0,0,0,2,4.0,6,25.65,7,27.83935051534478,154.2824667382472,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.21746549,0,0,Critical Risk
29.0,0,12,7.79129080329233,2.40553917630639,686.286022488453,44.9902460803283,1,2,0,4,3.0,1,12.39,11,57.190497108162994,93.49548963950795,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0.029055532,3,0,High Risk
29.0,0,13,13.2667090036655,2.88352010797696,423.243550640172,95.6342084148756,0,2,0,2,3.0,10,16.3,14,32.55719369869064,172.4672170476515,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0.0725659,3,0,High Risk
39.0,0,15,7.63144429525343,2.23589878157856,519.510337135069,55.9392981202279,1,0,0,3,5.0,10,29.76,1,34.63402016673659,114.47166442880145,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0.04163157,3,0,High Risk
36.0,0,15,9.99433310322679,5.89204835254095,685.2671893356,82.1491728196647,1,2,0,0,3.0,5,18.86,6,45.684476243408255,149.91499654840186,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0.086391255,0,0,Critical Risk
21.0,1,10,11.4079979651014,4.59277140983209,78.6246471156209,72.9494755952069,0,3,0,5,4.0,7,27.14,2,7.862463925315699,114.079979651014,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.9026534,1,1,Moderate Risk
35.0,0,14,7.43482888165296,2.68281884892773,43.2979089331155,64.6922850996087,0,0,0,3,3.0,7,5.22,9,3.092707560029139,104.08760434314144,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.76829493,1,1,Moderate Risk
